date,time_control,color,opponent,opponent_rating,my_rating,result,opening,moves_count,termination
1730731620,blitz,white,player3357,1103,1236,win,Vienna Game,33,mate
1730732220,blitz,black,player2647,1129,1230,loss,Dutch Defense,16,resign
1730890440,blitz,black,player9144,1282,1225,loss,Dutch Defense,32,resign
1731251100,bullet,white,player4474,1129,1134,loss,Vienna Game,56,resign
1731252000,bullet,white,player9225,1202,1142,win,Ruy Lopez,40,outoftime
1731428220,blitz,black,player9297,1237,1234,win,Caro-Kann Defense,50,mate
1731536700,blitz,white,player7016,1294,1240,win,English Opening,26,mate
1731537480,bullet,black,player8897,1036,1140,draw,Scandinavian Defense,30,draw
1731538440,blitz,black,player4415,1225,1245,win,Sicilian Defense,61,outoftime
1731539160,bullet,black,player8789,1154,1134,loss,Dutch Defense,33,mate
1731553140,blitz,black,player1233,1172,1241,loss,Caro-Kann Defense,55,resign
1731553500,blitz,black,player8935,1178,1250,win,Scandinavian Defense,35,mate
1731554460,rapid,white,player4161,1358,1302,loss,Scotch Game,40,resign
1731830640,bullet,black,player9455,1075,1143,win,Sicilian Defense,50,mate
1731831420,blitz,black,player987,1176,1258,win,Dutch Defense,19,resign
1731831720,blitz,black,player3106,1177,1264,win,Dutch Defense,8,mate
1731832200,blitz,white,player341,1374,1260,loss,English Opening,69,outoftime
1731833220,blitz,black,player6496,1194,1256,loss,King's Indian Defense,31,mate
1732135800,rapid,black,player5238,1248,1307,win,Caro-Kann Defense,55,resign
1732136520,bullet,white,player3953,1168,1150,win,Italian Game,44,mate
1732137120,blitz,white,player4372,1160,1265,win,Italian Game,44,resign
1732137540,blitz,white,player9324,1224,1261,loss,Scotch Game,59,resign
1732204740,blitz,white,player8766,1209,1270,win,London System,63,resign
1732205220,bullet,white,player3550,1052,1142,loss,Ruy Lopez,39,resign
1732311120,blitz,white,player4391,1263,1266,loss,Queen's Gambit,45,resign
1732312020,blitz,white,player9643,1359,1260,loss,Queen's Gambit,50,outoftime
1732312740,blitz,white,player4188,1227,1255,loss,Italian Game,31,mate
1732313460,bullet,black,player3000,1069,1136,loss,Scandinavian Defense,26,outoftime
1732402200,bullet,white,player3744,1207,1128,loss,Scotch Game,47,outoftime
1732402740,blitz,white,player4673,1288,1263,win,London System,67,mate
1732561260,blitz,black,player5239,1213,1272,win,Caro-Kann Defense,8,resign
1732561560,blitz,white,player8921,1319,1274,draw,Scotch Game,53,draw
1732562400,rapid,white,player2141,1202,1300,loss,King's Gambit,35,resign
1732562880,rapid,black,player6311,1262,1299,draw,King's Indian Defense,26,draw
1732563720,rapid,white,player9602,1316,1293,loss,Scotch Game,28,resign
1732564380,blitz,white,player5591,1394,1268,loss,English Opening,30,resign
1732564680,rapid,white,player1293,1371,1299,win,Scotch Game,9,outoftime
1732565460,blitz,black,player1846,1207,1273,win,King's Indian Defense,46,outoftime
1732660380,blitz,white,player7351,1186,1264,loss,Queen's Gambit,21,resign
1732661100,blitz,black,player4643,1372,1257,loss,Caro-Kann Defense,23,outoftime
1732911300,blitz,black,player1152,1159,1265,win,Scandinavian Defense,27,resign
1732911960,blitz,white,player6332,1373,1260,loss,Vienna Game,44,resign
1732912620,blitz,black,player9983,1248,1252,loss,French Defense,50,resign
1732984980,rapid,white,player9346,1225,1291,loss,English Opening,28,resign
1733052540,blitz,black,player7006,1181,1259,win,King's Indian Defense,37,resign
1733052780,rapid,white,player3366,1329,1296,win,King's Gambit,43,outoftime
1733053800,blitz,white,player4298,1249,1250,loss,London System,38,resign
1733054580,bullet,white,player6249,1102,1133,win,Ruy Lopez,29,resign
1733260500,blitz,black,player7118,1289,1241,loss,Dutch Defense,35,resign
1733261340,blitz,black,player2606,1148,1248,win,Dutch Defense,33,outoftime
1733261940,blitz,black,player9807,1373,1240,loss,Scandinavian Defense,34,outoftime
1733262960,bullet,black,player8198,1197,1124,loss,King's Indian Defense,65,resign
1733332560,blitz,black,player9196,1237,1236,loss,Scandinavian Defense,39,resign
1733333400,rapid,black,player9628,1184,1304,win,Dutch Defense,16,resign
1733333940,blitz,black,player2076,1264,1245,win,King's Indian Defense,35,resign
1733597160,rapid,black,player8851,1244,1312,win,Sicilian Defense,26,mate
1733597520,blitz,white,player300,1164,1247,draw,Scotch Game,23,draw
1733673300,blitz,white,player5078,1145,1253,win,Vienna Game,30,outoftime
1733673600,bullet,white,player7353,1160,1118,loss,Vienna Game,32,resign
1733674200,blitz,white,player4029,1343,1260,win,Queen's Gambit,55,mate
1733674560,rapid,white,player4732,1305,1305,loss,Italian Game,33,mate
1733675400,blitz,black,player2541,1310,1254,loss,Dutch Defense,23,resign
1733676480,blitz,white,player4828,1162,1245,loss,Queen's Gambit,23,resign
1733676960,rapid,black,player5380,1313,1315,win,Scandinavian Defense,43,resign
1733677740,blitz,white,player4515,1312,1236,loss,London System,16,mate
1734031860,bullet,black,player8217,1081,1123,win,French Defense,27,resign
1734032340,rapid,black,player6722,1344,1320,win,Dutch Defense,55,resign
1734032580,rapid,black,player945,1234,1329,win,King's Indian Defense,18,resign
1734033000,blitz,white,player4020,1340,1232,loss,Scotch Game,34,resign
1734215340,bullet,white,player7836,1200,1130,win,English Opening,26,resign
1734215760,blitz,white,player6898,1338,1226,loss,Vienna Game,24,resign
1734216240,rapid,black,player8035,1417,1321,loss,Pirc Defense,58,resign
1734216780,blitz,black,player6830,1202,1220,loss,King's Indian Defense,60,mate
1734217680,bullet,black,player8329,1218,1124,loss,King's Indian Defense,44,mate
1734218460,blitz,white,player2629,1222,1215,loss,English Opening,59,resign
1734218940,blitz,black,player8094,1300,1224,win,Pirc Defense,49,resign
1734219960,blitz,white,player1712,1284,1218,loss,London System,39,resign
1734300120,blitz,white,player3050,1189,1224,win,Scotch Game,16,resign
1734300480,blitz,black,player4261,1171,1234,win,Scandinavian Defense,17,resign
1734301560,rapid,black,player7051,1243,1328,win,Pirc Defense,43,resign
